               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.06871,           0.0079924,           0.0045221,             0.61963,             0.40992,             0.44791,              0.2157,            0.071153,           0.0030025,           0.0064968,            0.005842,            0.005842,            0.005842
                  65,            0.069407,           0.0080731,           0.0044035,             0.75762,             0.45546,             0.50329,             0.23938,            0.067997,           0.0029442,           0.0028538,            0.005776,            0.005776,            0.005776
                  66,            0.068604,           0.0078785,           0.0043738,             0.65644,             0.46244,             0.49085,             0.21996,            0.067234,           0.0030125,           0.0027535,             0.00571,             0.00571,             0.00571
                  67,            0.069243,           0.0081837,           0.0040319,             0.64121,             0.40482,             0.47124,             0.22321,            0.067312,           0.0029413,           0.0030284,            0.005644,            0.005644,            0.005644
                  68,            0.069396,           0.0079498,           0.0041785,              0.6953,             0.46537,             0.49517,             0.22617,            0.068026,           0.0031356,           0.0030835,            0.005578,            0.005578,            0.005578
                  69,            0.068806,           0.0080327,           0.0045434,             0.64164,             0.47503,             0.49176,             0.21896,            0.067253,           0.0029289,           0.0025917,            0.005512,            0.005512,            0.005512
                  70,            0.068192,           0.0080239,           0.0038542,             0.68606,             0.47678,             0.51844,              0.2251,            0.069533,           0.0030427,            0.005054,            0.005446,            0.005446,            0.005446
                  71,            0.068267,           0.0078355,           0.0041607,             0.62947,             0.45358,             0.48701,                0.23,            0.066341,           0.0028826,           0.0026547,             0.00538,             0.00538,             0.00538
                  72,            0.068158,           0.0080681,           0.0041199,             0.70484,             0.46052,             0.49917,             0.24975,            0.067582,            0.003028,           0.0030386,            0.005314,            0.005314,            0.005314
                  73,            0.067242,            0.007854,           0.0037762,             0.66935,               0.456,             0.49476,             0.24392,             0.06626,           0.0029526,           0.0024664,            0.005248,            0.005248,            0.005248
                  74,            0.067443,           0.0080251,           0.0037365,              0.6591,             0.46118,             0.50714,             0.24497,            0.066813,           0.0029614,           0.0030468,            0.005182,            0.005182,            0.005182
